"","design.factor","APP-2","GJA1","FAM127A","SERPINF1","DHRS3","LTBP1","ITM2A","ITM2A-2","AKAP2 /// PALM2-AKAP2","GYPC","FBLN5","FECH","F13A1","SORL1","DPP4","LAMA3","PPP1R26","FZD6","MEIS1","PBX3","CDKN2C-2","FAAH","PROM1","RAMP1","ASB9","CD38","ADAM17","RASGRP3","SPIB","CTSE","GPA33","CETP","HOXA4","ARHGAP22","TRH","EPB41L3","HPGDS","KCNA5","HOXA7","GNG7","POU4F1","CSRP2-2","NR2E1","BLNK","PKLR","MAN1A1","HOXA6","ADCY3","ADCY3-2","SPON1","CD34","LDLRAD4","CD200","SMAGP","S100B","DEFB1","PKLR-2","DNTT","CTAG1A /// CTAG1B-2","HGF","HGF-2","CSRP2","POU4F1-2","CTAG1A /// CTAG1B-3","CDKN2C","GALC","SPRY1","RPS6KA2","MCF2L","ROBO1","HOXA5","SPON1-2","ATP10A","HOXA2","HOXA1","HOXA10-HOXA9 /// HOXA9 /// MIR196B","APP","LOC81691","CTAG2","POLE","HOMER2","CTAG1A /// CTAG1B","gene83","ARHGEF3","FAM134B","ECHDC2","LEPREL1","CHD7","TESC","BAALC","SLC24A3","LAMP5","MREG","SIDT1","NPR3","NPR3-2","ITM2C","MAN1A1-2","KIF17","V100"
"GSM856203","mutated",11395.3877650876,4083.93184058583,14053.9482377507,2000.10984584966,1167.29105834389,3967.87797244643,11997.0751388023,10019.0565622107,1569.98584139225,4272.15995233872,19485.1333624836,8530.60242476228,5195.66473033968,8488.70082595761,7284.81053102435,8875.36452390009,18404.2881598518,15029.9064465007,28867.863802647,18861.6336461481,10215.5005524444,8398.38992193209,1375.41456972027,2026.31339995317,10622.2690974838,14598.5039324177,12152.0994690998,12804.2415707067,3788.73854212134,5945.15253592963,12110.4442379649,21936.6905889768,13521.2625688938,39360.8610379456,1329.06404227412,251.662140649874,3062.08294796027,5972.2578987927,29953.3744642773,5731.28795453991,2472.67910365383,7247.51851268316,12927.8041468898,10501.033947958,7931.55362978739,5114.34861844115,24521.670857207,9245.65151561454,5882.500817014,8303.25112422315,2722.20252103549,4786.79582966393,4694.74716241186,5633.05400136712,35332.4287652646,527.938529494203,3266.41714869003,3791.8057811773,4470.01365837507,1644.78211798387,3127.60975290245,11493.0308217358,219.806306682551,4129.75421301539,6182.43194782467,8346.19131845571,6154.24089143025,11062.531177558,10200.1291155584,2177.80429594272,16706.0787094515,1528.30844043071,3398.15204173249,15876.5803597494,7192.36121636331,22988.479389481,10762.8810630337,11170.9602569321,2736.43783005281,10221.2901024117,18665.6004071173,5787.09848685957,5493.94648489165,12013.8928429084,6847.56066324004,14172.0152516462,7012.14297930563,6396.9571230982,7332.06378616708,1537.20757307098,1677.19021310182,1459.92687887598,11181.3113883727,9540.288120525,3546.0910933935,1512.14758560436,5926.25229880024,8544.25896630699,3304.06527810737,1783.30967718455
"GSM856204","mutated",2819.87561644541,1361.31061352861,6128.92437948107,791.80549961554,2014.35182634566,1727.38258535967,4417.29979459832,5165.5813065664,1841.66392376295,5744.88696715861,6996.0647135986,9179.15834178897,599.836763523455,6940.26127607679,5112.14774106972,5198.42779257005,10361.1820503466,3578.54915392874,14655.0474538544,22067.8714978248,15595.9317424192,9134.98903801315,755.005857078863,6121.95156919812,26109.0423814546,12477.5658079968,14639.9760979982,10017.3970673515,9873.41772151899,4028.55362781022,1312.12174480802,894.545306686726,13923.0288796929,50844.570245443,532.207264192921,351.156475325405,3605.52429026038,4880.55484202415,25950.1719022277,4297.24654293588,1969.3122861243,6268.42827882689,8493.62977766675,1900.95640186111,2900.89229978335,12656.827734412,21904.5304569714,14032.3875617094,17327.8793907769,3682.84836882379,2642.25152325994,8472.77065992443,3667.18202043818,6949.54302640573,7449.11804613297,720.427844085906,1723.94238403085,265.303956702394,3931.95645875585,2787.18308696011,442.122844651132,946.234730004146,540.723514439076,3730.10057949777,11901.0619629819,6330.72828464025,4138.25965838282,1775.28683353385,6907.68237572628,3579.9522673031,12620.2672026073,5974.29663077457,829.649160690541,8443.55617435045,5649.17260289072,17377.9909865287,6438.43430699797,9617.12722119393,2328.37253960634,14813.4158988275,10550.5170752985,4619.06026015397,3764.37073964798,5310.2947037723,4952.10122777958,7435.4749483978,5757.93854398267,2111.36258854101,5546.76308362713,1415.66092775839,808.997632202052,573.988345540984,9482.34669498275,32893.919261249,8076.95063905925,3444.33616720992,2074.39355460198,9150.76854059925,12522.5899490699,727.881500891655
"GSM856205","mutated",9592.72755366133,5621.27399896728,14448.7312294554,1057.26630295485,10874.0565258113,98584.7124454636,5529.43294682215,5219.86061977024,4025.53773974285,4881.27650804326,6750.10931351115,12761.9067543961,27929.4780678786,8448.04966832351,10607.7065627197,6973.50069735007,42567.2831364185,4754.35816164818,24126.1636205952,15423.5232316319,3786.841434278,18786.177456587,1425.88849888432,5213.9337720493,7662.67031145741,5446.221815399,14309.5998712969,28647.1709054759,15879.5285901353,14572.4875658666,12355.2899224028,1809.42118852542,23459.5001296609,14720.4640659057,3860.68384271094,1053.46942597621,4760.33714264813,25879.7842281017,13251.2427053943,5628.85642513962,4190.30798101336,5390.62324157645,6557.58181363977,6429.86386351887,20269.52594279,6762.9491514711,11178.9282810061,11182.0154297922,8931.48933572273,8123.59998428052,1297.26941551952,10042.3283429448,6806.44066518345,15607.9900756981,3758.4803256445,42876.7134081753,7031.87025065215,632.647896751863,10140.3087620546,16028.0232334077,12657.8132931602,9334.76508925439,725.360812052419,3563.57823219876,7607.30798839061,5904.21950984943,10856.9752950663,33319.6396607882,10329.2446739832,2714.79713603819,26242.2681144217,7919.41646405002,11455.9774517269,30226.1346028609,4271.32562657591,16158.8180978763,12054.7623441773,9129.88320998731,3456.55304848776,13348.9717415289,8460.40602678977,7645.34112025484,9767.01597314071,10927.0491775826,18186.1648537423,9199.16960615776,15278.4903939342,49457.2278804644,8212.38323168378,4790.36778584911,101716.653512234,3412.7350544665,7549.77435625166,10285.9218614077,2903.44877007968,6821.46577505965,7731.08415798231,5734.54064647132,13873.4232671912,2838.73785347745
"GSM856206","mutated",6759.97579284859,504.623761911468,19804.4029722918,800.959320420343,712.770646245386,36573.8641912861,12156.3012509048,9458.17032577087,7400.61545534814,3402.70864953853,6258.19851333625,7187.28969877018,32445.1031415945,6751.78772704595,3834.11080580229,12425.5103334601,28108.7755732046,3348.49956546189,18131.4753075349,14232.177994974,4816.18237277252,16767.7798786641,1373.31148933843,1639.21107590551,11816.8707892981,11102.0568138548,11261.5200753832,20588.1865628365,8598.86512439982,5586.12023358219,10126.566384571,1707.76831276557,14898.2252886326,25269.401964767,648.536720847111,520.882105066017,1713.93038725421,8348.31749293604,21086.387826839,5628.85642513962,5161.71762887736,7360.05762002296,13864.6015488384,1954.80785800448,2827.45198839643,8980.3958748117,24881.5276622393,4975.64959869761,3874.98069692192,7865.351470613,1626.10013217705,18110.2809579273,7202.38319695313,7696.39737714879,895.522388059701,5655.35857607437,2631.28048088919,469.383923396544,2152.22879847688,11623.5857626559,1146.24441205849,5092.65658058411,422.028108830499,3763.40504895757,2921.4740294825,6974.67290540286,5791.36426948171,7394.58317438892,7617.81794706262,686.157517899761,17301.5975680745,2222.99409517193,8716.99871574856,18167.1195347062,2535.23843641925,22663.621409746,9429.05558445045,8027.64218463577,2136.34181469035,10009.2438895902,6697.44279456935,5335.81099017786,15362.7022077526,9058.14697341671,3859.22371544202,11120.4963328238,11800.9235505387,9713.31572991324,4866.95488818549,3682.14837270491,31412.7861089187,1035.67462347612,2166.17998407221,2571.48046535193,1816.9671443333,3914.78208273127,11432.4262194588,14889.7362642552,2646.90312334569,3020.70822870037
"GSM856207","mutated",3489.43512354661,4365.58231235037,14580.8693382491,755.190216396324,5523.11167428792,75538.3675724371,22371.2687504057,16695.4120862842,18724.8893695501,13187.7906341237,7761.25929164845,19796.6463382742,29796.3857476089,8677.17437498845,3642.40526551217,5071.63687080005,17006.7072657368,3348.49956546189,24764.9418834623,11185.8522556003,8503.86711114049,11768.1858781769,4704.59081416551,1605.75778864213,4972.12596052433,8090.57274011562,11183.9534830273,22291.4422997266,4749.01789611523,16209.252473627,8148.96662564978,1118.18163335841,12001.8554298717,23378.0188963583,405.698980081489,760.839029871711,7906.02645096226,4880.55484202415,13491.0067091106,11579.6405141087,3519.15222430732,5739.49447432983,11116.6625031227,3807.29794933655,24675.9446260052,9580.84463125073,26858.4033574173,6461.95475520415,4955.9530692792,5877.96073499773,1266.32064218705,10915.8830715036,5166.10731928052,7696.39737714879,1424.6947082768,77930.0306969802,40807.5309062039,730.606280765055,2069.45076776624,19303.8236022793,14802.9278357268,2689.85827742752,2079.36766121694,1398.78771731166,8099.7987003983,4022.56315047815,7682.72120812257,4738.98882009449,7230.47127178825,1640.81145584726,12971.2683841799,764.154220215353,2034.34520224119,24971.368260313,3348.16815244499,16720.6313098885,5905.74299951345,14403.4083312784,3024.48391742679,12408.0166721335,10105.2325475727,5760.55216352535,16176.6202055143,13594.7563561096,7530.60910845102,12110.9015959503,6556.06863918819,22549.1428810931,14947.2022783225,3317.50843676715,20274.2699289661,3418.97405822238,5702.15025219007,12924.3181753004,12221.76245813,8921.6707550657,7525.83413608897,14830.7085684603,2427.84907175846,8152.27280998653
"GSM856208","mutated",244.646742979282,5304.41721823217,7983.7519066224,581.267621105049,7640.76359429233,17638.2525593688,15671.52387963,12791.8248117073,1718.88632884542,4793.66385277069,3662.00262352427,5023.69321213009,1895.88855706908,13658.7889650585,3961.91449932903,9699.5055154051,9025.34167765835,6863.14605592761,27000.6658034971,21340.2713868458,3881.27638276373,7197.79136265036,1892.77234365175,8726.52893470396,3142.55580188984,11817.7183915103,15806.3478200915,30141.661834148,2121.34439109559,6694.89646141987,8180.35709801361,1768.76003822148,22758.2352962661,8338.68424386174,1211.28046741176,6748.05693416986,4943.2260559222,4559.46570768045,12052.4226868126,5882.49640270224,2750.85550281488,1215.42235926985,2997.75168623532,2450.24125452352,4553.29930598906,17881.7853343025,9608.64404086478,7398.1880967793,15043.8314545004,7219.7301864442,1261.1625132983,8905.99698872191,4666.46555299974,6962.20157472341,3202.17096336499,694.537468439069,1769.30928887377,224.487963363564,4676.95873515169,5140.8043603931,5354.59889633038,2700.49012832644,342.89783842478,5228.80170518884,7502.11579747634,9479.36659265485,13074.5546514185,1599.22532938173,4454.48676565526,8621.7183770883,16859.8882159833,2500.86835706843,3489.07249769858,34425.456423615,29058.7927304794,15906.5754312585,7201.81870040099,10585.6732434705,1608.25732117139,7477.94222403345,8987.47750858763,5229.62569684099,7121.7824804151,12938.2960836786,3090.79421457967,11147.264042638,7126.16156433499,14769.0598935412,5721.54026952143,12783.8471658182,24615.2328334649,711.24642817035,4608.44173082028,6194.49569348718,48221.2908788712,61258.7788568164,6261.49400122603,6267.26560102,6772.42109490517,3857.77195472577
"GSM856209","mutated",4313.50836305577,2969.06538985119,5104.44620266071,1313.57328548936,1267.14781554735,11375.9440473813,14403.8390640444,10095.9522559161,17248.9459412862,2913.32938937317,3880.62964582422,8167.96900879037,40627.1461856111,9379.33073412295,3322.89603169532,13503.2331685051,27755.1707686695,2402.74014620929,12824.702046793,16055.1760752291,1584.14626084821,7191.99136961036,4079.97594076043,14767.2368062625,7425.9024085753,10285.9297460952,13352.9452322401,30307.3481898766,4975.99301615015,7798.39280245831,13472.790738555,1545.1237115498,23207.4830801597,16974.398623178,340.263660713507,1281.72113493773,2719.81941026164,5394.29745697406,21797.1168378553,6448.30866034193,4940.94270890827,889.058947984425,10741.9435423432,3166.4656212304,13953.6591635149,3987.1904265293,16992.7187415293,7706.56168999842,7911.56855914643,8005.70392369318,1718.94645217447,10319.3091105366,3723.74523926242,15709.2584622395,1465.40027137042,26014.1991825395,5761.59691505047,640.811095419629,4180.29055088779,11286.3710188014,12657.8132931602,2455.95755765121,2514.58414844839,3863.31845733697,1453.56481990619,7693.88378054033,5762.04090609193,22125.0623551161,9683.66688185926,2834.12887828162,12793.7958766432,1458.83987495658,4818.78416620259,26453.4818441086,12193.9457403861,20630.3926424636,7751.2876868614,11298.7132598704,3312.53000480077,9495.6944679131,2544.48301557587,4008.49482346695,6816.56323125445,12916.525717501,4730.11048308601,4660.55569765574,8266.34741462858,9681.88105117566,13939.2847645762,800.777898530001,32172.454617206,1098.06466103493,7772.76347225909,7007.04528291065,29751.1032411827,26798.6155448772,23884.2608809878,3013.36387032796,4435.84454464139,1746.91560213997
"GSM856210","mutated",5794.26496529879,4529.87842087969,29005.1305475575,796.382410017941,1408.32461021431,26938.4220906723,4268.4846205948,3657.97338232946,9665.47023818853,3108.5804496949,3306.73371228684,9527.84431868503,40128.4055058275,14316.598606774,6837.49760368074,15658.6788385952,40557.909802711,10467.2562752416,15023.5733747393,19317.3831662119,2851.93544426922,4697.99436240676,3236.64070764449,20530.7602976387,1721.94838459717,4267.92285738738,20868.2861805061,40825.1180515285,8162.37450894806,8078.22680281735,2523.79397805178,2175.3715412609,18291.3244043814,9793.25828954323,575.830810438242,2949.7143927334,2124.12409274036,11173.9018751605,23526.8428646661,9911.46989244689,4159.39949221768,8294.1322109433,3185.11116662503,14329.8724797519,14724.7824330775,8443.15225062942,34205.0903380785,13807.3581828739,7732.00504214356,10077.3061311566,2813.75930881073,10851.9644328286,19929.107432407,20671.4094027697,1886.02442333786,4252.77561711962,3493.25167290462,1783.65890890687,8070.85799428832,21877.6667492499,8924.33149388397,4135.78999968104,606.665406443842,5428.62852194765,4853.18517172625,2082.36637103755,2023.31207389488,23577.569764371,12653.3247256294,1968.97374701671,17853.7342581886,31886.0715526224,13808.5442498494,19986.0771148189,3224.16192457666,20511.915026325,9731.05380601648,7094.74816317921,1416.2265962554,13481.5006245424,1999.23665509533,6716.21980355721,13022.6879641876,9180.39595272146,6386.50296272263,19808.1052625317,8437.37529217262,10284.3790603127,7838.16704838862,1051.02099182063,38802.2888713496,848.504510799715,8186.8861162729,10668.2981387835,5947.90898520305,3158.7082899291,17815.7019003415,7511.27428989682,9291.5426881583,2511.19117807621
"GSM856211","mutated",3141.77922562868,4060.46096793879,23148.6390590462,1409.6884039398,7606.33022973941,58556.0830834581,6381.2926465707,6585.89000206714,4644.65029283763,4601.75041741172,5247.04853519895,7777.44071466678,104445.733981157,6592.87865629446,4792.63850725286,8051.22353239508,21278.0287935341,14326.9771484075,26275.8981590902,12097.3512957279,8664.40652356624,7528.39096593084,4860.21876242132,2169.68463108193,11192.6644998816,11099.5761844695,16283.2387212429,35357.4683124845,4696.63902226102,6203.86698909175,4363.27565857211,80854.6973793889,15208.6810742501,14799.0896899966,231.204795100203,1404.62590130162,14247.0463440506,6036.47572566144,17900.9517774648,14316.0256566593,4817.30875372558,7934.00706745594,5745.69073195104,4211.18387041186,6132.26600080784,8248.26975950447,20395.0012618355,10387.4672526691,6593.57234434537,6815.5151215733,2100.64798994165,7350.64344762933,4289.37742750481,11101.5468746044,1587.51696065129,21072.5144395128,3674.71929227628,469.383923396544,3559.45532055792,4273.68073333884,474.872684995661,2083.84277618891,1081.44702887815,4462.7989076134,9194.75377855131,7551.71418894339,7151.23524668279,5560.60917280437,9683.66688185926,2386.63484486873,11515.9938223792,3265.02257728378,3841.38926456716,5995.82313444567,1419.18238560425,15428.8431081189,7151.48566347332,8214.81518894075,2808.4493518963,9813.76378714536,11159.3755111685,4751.79187682506,9258.31722453963,15456.959986067,5344.85408377589,15370.6138133279,7183.17085684967,12065.6775221091,6055.01085119706,3968.14047932277,110891.870560379,2102.54426573165,9790.28404565968,12197.8032482865,5806.89754015937,1377.73446688397,1556.47933269113,14948.7639600501,2081.01349007868,2511.19117807621
"GSM856212","mutated",1339.11901420239,6419.28366896681,13396.5203631351,2334.224305225,14589.416561071,6909.53034143867,3318.63962109085,3868.75804860441,4469.62691284881,14568.7329624676,6914.07958023612,12517.8265705688,1507.67959550783,10713.4278164785,7668.22161160457,10777.2283504501,15710.1563157747,10940.1359848678,20428.6202143838,21164.3680633124,3786.841434278,13363.1839641792,2300.76993772779,10270.159189857,13409.6730450505,766.514480053879,10569.1664176875,41686.6871013172,13391.5320820602,6404.50268746238,11677.2557193441,2399.00786793258,14036.2539309181,36342.5106909008,1790.01951426635,649.639479351999,3427.86077450842,6164.91137939892,20945.098324649,14320.9033485355,4049.01203223314,1361.72319881159,13240.0699475393,39150.008616233,5250.9822641648,4292.68189910354,31760.8681428585,21813.9590446531,17245.2801729556,11767.1496662419,47906.1220542248,8529.58722763558,38227.3087220483,3265.90546596116,1981.00407055631,769.957258366813,6419.41703527277,64734.1654353842,7325.85571789247,6413.96206678228,1506.4926558483,3763.67521821874,747.341442720675,14554.0531539333,4207.68763657054,6615.06746783413,7975.95484202038,14833.1817248159,28921.885087153,1342.48210023866,17277.9345670696,4654.39388676624,4796.05405221107,9768.475893198,10099.6183363876,15631.4016131301,7478.65040350318,8244.52518962408,4464.71435429669,11632.7227065049,6606.56840115592,4406.68967348022,7732.22097873639,19861.2725281424,3620.15675961818,7944.06143486821,9805.59831252494,8010.60396496081,7615.1384921554,34340.5022021392,5465.66692975533,1977.76419061404,4258.0302628086,7351.18393254883,4639.50770824038,3108.30337040895,15311.6516332428,4599.73319481501,7867.69135284131,1746.91560213997
"GSM856213","mutated",309.027464815936,222.973290146928,10942.9930097309,4471.64146314672,11807.2007051953,21559.4839134764,6295.55550928472,11072.9798935854,12340.4544338385,7192.58179475776,5656.97420201137,3783.24284932233,8984.07197501983,3884.03333394926,15272.5413764458,6339.54608850006,16585.7491650998,11208.5271714125,35022.2466814241,4703.81478339505,5644.84904573485,1739.99791200251,246.060404674727,1773.02422495902,13883.2088508147,4243.1165635345,25582.6112936958,14099.9088725043,10711.4797031864,5221.80804443553,11614.4747746164,1606.11543700571,35958.0848165206,13296.4666518152,2313.50206921021,280.925180260324,1272.38429663537,4944.77266889288,18581.7102880165,9301.75840792137,3686.94116348383,7934.00706745594,8243.81713714714,1653.23970360159,4222.81790474792,7368.66500226485,12337.9476011104,11365.372701436,5455.13964654717,9560.80910382152,1573.22931106741,6484.19079003437,8748.44451148233,7443.22641079521,1234.73541383989,22817.3006244083,1769.30928887377,604.076701414682,5297.79396548156,10749.5802020536,4945.22589202378,11269.7619528584,3349.84811384208,12322.6537001266,7626.43384128411,1304.61507583075,4442.48955355179,13835.4998679539,11297.6113621691,2356.80190930788,18697.7146273629,17992.3584577978,19695.6437736535,23601.5360086232,23836.7526902462,16025.0530473972,7252.15173732866,8826.84120301735,4200.67210753721,7511.07444478681,12922.3387433889,7671.88744358906,19839.2511954421,9957.43056090511,2646.81272519253,29206.5455973066,6499.05934667351,27232.910012993,2494.05972018494,3653.54916204313,28561.5627466456,1104.30366479081,3663.39262012211,12828.7241059565,277.399564020352,2755.46893376794,17152.0601628864,2946.95771255873,9492.3422354466,1201.00447647123
"GSM856214","mutated",206.01830987729,1537.34215838145,5531.85588789468,7501.55614953682,8343.20423117184,2354.19651928765,5139.94138029442,5613.38564049816,6303.45396885106,7772.49413203811,2541.53913423699,5471.75469244153,698.910925588565,14213.1229327962,10799.4121030098,3169.77304425003,17315.4098728707,1060.78421348602,18364.8750574286,14751.892359959,1973.69042335187,15219.1817369819,3571.0304883563,6136.288692311,4477.06579995265,8379.56606350163,13436.2574981039,17721.8126087317,2086.42514185945,2861.69864518105,11407.2976570151,1219.83450911826,11355.3769115858,57746.1528045323,1550.09000991709,304.335611948684,5170.53084813427,8797.84228101721,21291.8998300244,17306.0507767724,1452.69897339662,4546.57993652794,3622.28328753435,2143.28795450629,7527.63191715933,4203.14129507316,11562.1524110406,7937.14734979289,8252.73924145188,4962.86274091499,785.325123311519,8053.74847305474,5166.10731928052,8557.17866275096,7001.35685210312,5156.68742774615,1088.80571623001,420.404731389948,5421.96101154754,165.166405153192,10774.6974733498,1392.77246775891,356.086216825733,2098.18157596749,6392.8163296532,4252.54337217908,3210.908291181,11854.8079462426,5164.62233699161,2118.138424821,18303.3312772815,5210.14241055922,10126.2657832229,10531.9889515169,10609.421717624,19797.227470908,5679.24433333893,13785.4403170651,2208.35333653385,16473.3401585708,8342.26931535232,19856.6498539952,7121.7824804151,9511.97537604121,1263.63962364031,9098.04714685955,2280.3717005872,7030.8898109728,7836.02254304022,3682.14837270491,11543.0149960537,1934.09116432288,3249.26997610831,14893.5560037855,13772.8883536105,6115.79690177761,7997.90918644365,5063.10060680471,4892.20715211478,1128.21632638207
"GSM856215","mutated",6051.7878526454,492.888325587945,13613.487875105,3661.52832192157,15312.5172166823,13954.6274174246,9535.19448244777,5807.88651281195,8254.83404126372,7785.01022564848,8143.85658067337,7311.07322056829,7420.45254650925,6681.5720911325,4792.63850725286,7290.47800177507,13970.1961664749,7259.34256939829,30501.6620519032,16486.9387784474,5826.63632156989,10555.9873328152,1573.10412561278,1935.51162023828,8728.12587442691,1634.73476490455,19753.6255199835,50136.6912434761,7673.50501964208,8748.77242631918,10264.6844629718,2114.37981580499,23174.6112910943,13763.8523061332,535.115500609276,4020.74164247589,627.047702653979,8091.44618546108,15447.6522394386,5292.29568568154,3841.48360746219,3668.7748992775,16300.2747939046,7119.16250215406,6609.62802482282,6989.43420872441,9580.60325086225,8001.04458082027,2969.98057122746,11789.6060587347,2537.79941326284,6363.45558364819,48946.0386892417,3898.83288184511,1356.85210312076,2709.48409486684,3515.93512532607,7187.69642696794,4759.73676586234,30700.3055578495,15326.9252812393,8016.41557778794,294.540450954619,6128.02238060348,2562.86428772933,11131.0427303252,8096.91371600323,15390.7098212976,14912.8469980633,3430.78758949881,17751.1945871674,5279.61097603334,6387.16203161759,38243.0217152096,20157.9012634857,18127.0752692117,10318.2725701726,4156.42909559787,2736.43783005281,5158.68677129822,2808.0187564748,16299.44252721,16176.6202055143,27296.6898995549,7991.66680896842,13047.7714394485,6670.08722421755,36453.7491093508,1576.21143107131,13205.6855230796,55850.4340962905,2913.61475399608,6041.94319086806,5123.84211683507,12566.2002501219,3041.09681104876,13601.2347841317,12255.6253394093,4198.53598875523,6368.96313280198
"GSM856216","mutated",2420.71514105816,2194.52659249871,8296.96816450379,1121.34304858848,3587.95658641397,25772.2566322016,3679.34800581543,2296.01494852286,2873.51817892092,2136.91438241005,7706.60253607346,6536.99035185902,4255.47115155853,10295.8295607827,5048.24589430634,3930.51857487004,20436.11259226,14902.1011195747,24949.2048439047,19429.321644824,4063.06365859877,13693.7835674597,5903.34663181161,6466.04252390715,4724.59588023849,10968.1028270493,11996.9662843879,18964.4602766962,9402.00785683108,5897.63355473659,1343.51221717184,1646.77658730966,25705.7390491287,30974.1278015839,1010.61215468328,1638.73021818522,1045.0795044233,4238.37657333676,14492.8777246396,9316.39148354998,2918.64444199139,4737.8964190056,6120.40969273045,3645.74358090643,2313.36980868799,7705.75904096746,21848.4488769664,10523.5961361622,8550.81467967664,6882.88429905178,2238.62793771559,12329.1951933184,3949.99811455937,10076.2044608724,1126.18724559023,23132.4878061959,1769.30928887377,440.812728059363,4428.62464301974,6173.09439260055,6287.96934614944,712.334010227841,246.183063484457,4596.01678545261,7487.77140780622,8337.82840130294,5967.3044498204,1335.13307315355,8005.16462233699,4653.93794749403,22775.6384672054,2500.86835706843,2227.55117116912,21086.434169455,17484.8781294349,21104.3031070182,6253.87983826317,12715.8802924652,3168.50696111378,11271.5815002932,4770.90565420476,4937.61614016459,14040.0854613898,18655.529170616,3022.48937005857,13389.8032870748,8152.32882959923,14177.0401106501,4156.0513651921,12383.4582165532,43508.2872928177,1466.16588263186,5118.13113883727,12599.298339531,3682.47921237017,2654.65909472765,6033.66647692442,11920.6431657734,8999.47061937533,1346.58077664956
"GSM856217","mutated",334.779753550597,9681.73496690607,16251.3560469498,2407.45487166343,6714.50608781885,87841.4131593026,11513.27272126,13479.3627789561,12413.5985329384,4234.61167150761,8335.15522518583,9135.57259467696,29695.289663869,14745.2835418245,7157.0068374976,6719.91885381007,19655.9369124126,12691.0689637544,23303.1223972857,21532.1659216095,6516.01144551576,20299.9756400292,1419.57925773881,7321.4908696421,9847.39232441508,10953.2190507376,16969.8467054308,33534.9183994698,1972.93758184199,11568.2319771064,1801.81311368373,2216.03269156484,16041.4330639064,14751.0406974966,447.868408118633,2586.85270156382,4859.61969556834,6357.56486000514,22978.8108561716,13111.2357632368,3982.77955624241,4512.818204326,3997.00224831376,13549.0263656729,8996.43814489773,6599.66922647452,8300.07384074701,12829.452734107,4374.1672741899,12148.9083386199,2464.29607659821,14651.5723985114,9191.52305893887,17367.5282918555,2659.43012211669,17965.6693618923,9141.43132584779,3363.23785111958,6539.4644261413,27149.2278470559,12739.6878940215,5273.3980458658,3385.01712291129,4262.97209085459,4413.29055517569,7380.27438731178,5402.82970456711,18823.9091522639,11491.2846998063,4266.10978520286,14765.7126270506,7572.0736366794,11183.2160838287,37322.3147919427,2438.78914807721,10827.3253716375,11886.9855544184,12163.2742797553,4104.65674507921,12129.7060178053,25363.0432016866,11627.2896203876,11191.3724692237,7986.37510005995,12704.7010809242,18630.3260307055,28105.5812097372,17723.9196948741,9325.38150750148,2495.28113024081,43449.09234412,4816.51089953956,11298.1152110433,13708.1895439207,3492.92284362293,3209.11320944924,9263.61765478588,5035.06245130215,6261.29497453497,6332.5690577574
