"","Genotype","SERPINF1","ITM2A","ITM2A-2","GYPC","FECH","PPP1R26","FZD6","MEIS1","PBX3","CDKN2C","PROM1","ASB9","SPIB","CTSE","GPA33","HOXA4","ARHGAP22","TRH","HPGDS","HOXA7","GNG7","POU4F1","MAN1A1","HOXA6","ADCY3","SPON1","CD34","LDLRAD4","CD200","SMAGP","S100B","HGF","CSRP2","CDKN2C-2","GALC","SPRY1","HOXA5","ATP10A","HOXA1","APP","POLE","HOMER2","TESC","BAALC","LAMP5","MREG","SIDT1","NPR3","ITM2C","MANIA1-2"
"GSM856203","mutated",2000.10984584966,11997.0751388023,10019.0565622107,4272.15995233872,8530.60242476228,18404.2881598518,15029.9064465007,28867.863802647,18861.6336461481,10215.5005524444,1375.41456972027,10622.2690974838,3788.73854212134,5945.15253592963,12110.4442379649,13521.2625688938,39360.8610379456,1329.06404227412,3062.08294796027,29953.3744642773,5731.28795453991,2472.67910365383,5114.34861844115,24521.670857207,5882.500817014,8303.25112422315,2722.20252103549,4786.79582966393,4694.74716241186,5633.05400136712,35332.4287652646,1644.78211798387,11493.0308217358,6182.43194782467,8346.19131845571,6154.24089143025,16706.0787094515,3398.15204173249,7192.36121636331,10762.8810630337,10221.2901024117,18665.6004071173,7332.06378616708,1537.20757307098,1459.92687887598,11181.3113883727,9540.288120525,3546.0910933935,5926.25229880024,8544.25896630699
"GSM856204","mutated",791.80549961554,4417.29979459832,5165.5813065664,5744.88696715861,9179.15834178897,10361.1820503466,3578.54915392874,14655.0474538544,22067.8714978248,15595.9317424192,755.005857078863,26109.0423814546,9873.41772151899,4028.55362781022,1312.12174480802,13923.0288796929,50844.570245443,532.207264192921,3605.52429026038,25950.1719022277,4297.24654293588,1969.3122861243,12656.827734412,21904.5304569714,17327.8793907769,3682.84836882379,2642.25152325994,8472.77065992443,3667.18202043818,6949.54302640573,7449.11804613297,2787.18308696011,946.234730004146,11901.0619629819,6330.72828464025,4138.25965838282,12620.2672026073,829.649160690541,5649.17260289072,6438.43430699797,14813.4158988275,10550.5170752985,5546.76308362713,1415.66092775839,573.988345540984,9482.34669498275,32893.919261249,8076.95063905925,2074.39355460198,9150.76854059925
"GSM856205","mutated",1057.26630295485,5529.43294682215,5219.86061977024,4881.27650804326,12761.9067543961,42567.2831364185,4754.35816164818,24126.1636205952,15423.5232316319,3786.841434278,1425.88849888432,7662.67031145741,15879.5285901353,14572.4875658666,12355.2899224028,23459.5001296609,14720.4640659057,3860.68384271094,4760.33714264813,13251.2427053943,5628.85642513962,4190.30798101336,6762.9491514711,11178.9282810061,8931.48933572273,8123.59998428052,1297.26941551952,10042.3283429448,6806.44066518345,15607.9900756981,3758.4803256445,16028.0232334077,9334.76508925439,7607.30798839061,5904.21950984943,10856.9752950663,26242.2681144217,11455.9774517269,4271.32562657591,12054.7623441773,13348.9717415289,8460.40602678977,8212.38323168378,4790.36778584911,3412.7350544665,7549.77435625166,10285.9218614077,2903.44877007968,7731.08415798231,5734.54064647132
"GSM856206","mutated",800.959320420343,12156.3012509048,9458.17032577087,3402.70864953853,7187.28969877018,28108.7755732046,3348.49956546189,18131.4753075349,14232.177994974,4816.18237277252,1373.31148933843,11816.8707892981,8598.86512439982,5586.12023358219,10126.566384571,14898.2252886326,25269.401964767,648.536720847111,1713.93038725421,21086.387826839,5628.85642513962,5161.71762887736,8980.3958748117,24881.5276622393,3874.98069692192,7865.351470613,1626.10013217705,18110.2809579273,7202.38319695313,7696.39737714879,895.522388059701,11623.5857626559,5092.65658058411,2921.4740294825,6974.67290540286,5791.36426948171,17301.5975680745,8716.99871574856,2535.23843641925,9429.05558445045,10009.2438895902,6697.44279456935,4866.95488818549,3682.14837270491,1035.67462347612,2166.17998407221,2571.48046535193,1816.9671443333,11432.4262194588,14889.7362642552
"GSM856207","mutated",755.190216396324,22371.2687504057,16695.4120862842,13187.7906341237,19796.6463382742,17006.7072657368,3348.49956546189,24764.9418834623,11185.8522556003,8503.86711114049,4704.59081416551,4972.12596052433,4749.01789611523,16209.252473627,8148.96662564978,12001.8554298717,23378.0188963583,405.698980081489,7906.02645096226,13491.0067091106,11579.6405141087,3519.15222430732,9580.84463125073,26858.4033574173,4955.9530692792,5877.96073499773,1266.32064218705,10915.8830715036,5166.10731928052,7696.39737714879,1424.6947082768,19303.8236022793,2689.85827742752,8099.7987003983,4022.56315047815,7682.72120812257,12971.2683841799,2034.34520224119,3348.16815244499,5905.74299951345,12408.0166721335,10105.2325475727,14947.2022783225,3317.50843676715,3418.97405822238,5702.15025219007,12924.3181753004,12221.76245813,7525.83413608897,14830.7085684603
"GSM856208","mutated",581.267621105049,15671.52387963,12791.8248117073,4793.66385277069,5023.69321213009,9025.34167765835,6863.14605592761,27000.6658034971,21340.2713868458,3881.27638276373,1892.77234365175,3142.55580188984,2121.34439109559,6694.89646141987,8180.35709801361,22758.2352962661,8338.68424386174,1211.28046741176,4943.2260559222,12052.4226868126,5882.49640270224,2750.85550281488,17881.7853343025,9608.64404086478,15043.8314545004,7219.7301864442,1261.1625132983,8905.99698872191,4666.46555299974,6962.20157472341,3202.17096336499,5140.8043603931,2700.49012832644,7502.11579747634,9479.36659265485,13074.5546514185,16859.8882159833,3489.07249769858,29058.7927304794,7201.81870040099,7477.94222403345,8987.47750858763,5721.54026952143,12783.8471658182,711.24642817035,4608.44173082028,6194.49569348718,48221.2908788712,6261.49400122603,6267.26560102
"GSM856209","mutated",1313.57328548936,14403.8390640444,10095.9522559161,2913.32938937317,8167.96900879037,27755.1707686695,2402.74014620929,12824.702046793,16055.1760752291,1584.14626084821,4079.97594076043,7425.9024085753,4975.99301615015,7798.39280245831,13472.790738555,23207.4830801597,16974.398623178,340.263660713507,2719.81941026164,21797.1168378553,6448.30866034193,4940.94270890827,3987.1904265293,16992.7187415293,7911.56855914643,8005.70392369318,1718.94645217447,10319.3091105366,3723.74523926242,15709.2584622395,1465.40027137042,11286.3710188014,2455.95755765121,1453.56481990619,7693.88378054033,5762.04090609193,12793.7958766432,4818.78416620259,12193.9457403861,7751.2876868614,9495.6944679131,2544.48301557587,13939.2847645762,800.777898530001,1098.06466103493,7772.76347225909,7007.04528291065,29751.1032411827,23884.2608809878,3013.36387032796
"GSM856210","mutated",796.382410017941,4268.4846205948,3657.97338232946,3108.5804496949,9527.84431868503,40557.909802711,10467.2562752416,15023.5733747393,19317.3831662119,2851.93544426922,3236.64070764449,1721.94838459717,8162.37450894806,8078.22680281735,2523.79397805178,18291.3244043814,9793.25828954323,575.830810438242,2124.12409274036,23526.8428646661,9911.46989244689,4159.39949221768,8443.15225062942,34205.0903380785,7732.00504214356,10077.3061311566,2813.75930881073,10851.9644328286,19929.107432407,20671.4094027697,1886.02442333786,21877.6667492499,4135.78999968104,4853.18517172625,2082.36637103755,2023.31207389488,17853.7342581886,13808.5442498494,3224.16192457666,9731.05380601648,13481.5006245424,1999.23665509533,7838.16704838862,1051.02099182063,848.504510799715,8186.8861162729,10668.2981387835,5947.90898520305,17815.7019003415,7511.27428989682
"GSM856211","mutated",1409.6884039398,6381.2926465707,6585.89000206714,4601.75041741172,7777.44071466678,21278.0287935341,14326.9771484075,26275.8981590902,12097.3512957279,8664.40652356624,4860.21876242132,11192.6644998816,4696.63902226102,6203.86698909175,4363.27565857211,15208.6810742501,14799.0896899966,231.204795100203,14247.0463440506,17900.9517774648,14316.0256566593,4817.30875372558,8248.26975950447,20395.0012618355,6593.57234434537,6815.5151215733,2100.64798994165,7350.64344762933,4289.37742750481,11101.5468746044,1587.51696065129,4273.68073333884,2083.84277618891,9194.75377855131,7551.71418894339,7151.23524668279,11515.9938223792,3841.38926456716,1419.18238560425,7151.48566347332,9813.76378714536,11159.3755111685,6055.01085119706,3968.14047932277,2102.54426573165,9790.28404565968,12197.8032482865,5806.89754015937,1556.47933269113,14948.7639600501
"GSM856212","mutated",2334.224305225,3318.63962109085,3868.75804860441,14568.7329624676,12517.8265705688,15710.1563157747,10940.1359848678,20428.6202143838,21164.3680633124,3786.841434278,2300.76993772779,13409.6730450505,13391.5320820602,6404.50268746238,11677.2557193441,14036.2539309181,36342.5106909008,1790.01951426635,3427.86077450842,20945.098324649,14320.9033485355,4049.01203223314,4292.68189910354,31760.8681428585,17245.2801729556,11767.1496662419,47906.1220542248,8529.58722763558,38227.3087220483,3265.90546596116,1981.00407055631,6413.96206678228,3763.67521821874,4207.68763657054,6615.06746783413,7975.95484202038,17277.9345670696,4796.05405221107,10099.6183363876,7478.65040350318,11632.7227065049,6606.56840115592,7615.1384921554,34340.5022021392,1977.76419061404,4258.0302628086,7351.18393254883,4639.50770824038,15311.6516332428,4599.73319481501
